burnt_area,dsr,fwi,bui,isi,ffmc,dmc,dc,day,month,year
0,0.21199875133826,1.99338422024281,12.4155792561173,1.35909811700355,60.8005293401082,8.79474664255977,64.8156688392162,1,Jan,1980
0,0.304354856096276,2.640955824436,13.0111205772559,1.80785477278133,70.4920072428385,9.28956232190132,65.7811356385549,2,Jan,1980
0,0.204063353946355,2.15453974694014,13.6664827060699,1.54000538686911,76.5289855957031,9.87962507724762,66.749235795339,3,Jan,1980
0,0.197313924746898,2.16860533297062,14.2233251833916,1.64655340274175,79.2264628092448,10.3683453130722,67.6476428858439,4,Jan,1980
0,0.206556450947805,2.14046152648516,14.3770931868752,1.41553478575001,73.7549730936686,10.4645108858744,68.1588758238157,5,Jan,1980
0,0.27464307492172,2.55112673535943,14.7184667730331,1.71706206142902,75.271509958903,10.7525853522619,68.9271628896395,6,Jan,1980
0,0.25858992190954,2.57885148932536,15.233535125653,1.796360856692,78.4875351969401,11.2029329792659,69.7878900170326,7,Jan,1980
0,0.22037448619472,2.30927350477316,15.4610411511858,1.58278566002846,74.0668770090739,11.3792307634155,70.432259648641,8,Jan,1980
0,0.494125976669883,3.39727908079047,15.7330838382244,1.9382918834469,70.1138332748413,11.5984450394412,71.0228551018238,9,Jan,1980
0,1.14928278861412,6.03102574333549,16.3181331000725,3.87548888117075,75.9924061075846,12.1386998464664,71.7386986621221,10,Jan,1980
0,0.532825489164485,4.13144605030616,16.9112355862061,2.6888391371568,79.6809762318929,12.688518730998,72.5114128573736,11,Jan,1980
0,1.19252163650623,6.97090220014254,17.3665028866132,5.04124606450399,82.1791714477539,13.1091931712627,73.0065918167432,12,Jan,1980
0,1.3664393770912,7.32972914457321,17.7867354575793,5.02739019711812,83.7585406494141,13.5248493146896,73.3548035216331,13,Jan,1980
0,0.904523175682407,5.60033324172099,17.7605417780081,3.80019020557404,78.1019217681885,13.4949384025733,73.4428966824214,14,Jan,1980
0,0.46846136351116,3.70557418207328,18.1541627208392,2.25243155876795,79.6977928670248,13.8729950342576,73.9066602039337,15,Jan,1980
0,0.0123329644012602,0.332273218373396,9.51446262851358,0.684724524539436,43.8214228757223,6.53555776854356,55.0131359696412,16,Jan,1980
0,0.0168848717087194,0.462020707108046,9.01636080116422,0.636708180288648,54.0036229070028,6.15865492490431,54.6299114375065,17,Jan,1980
0,0.0929492320261107,1.41190476113858,9.48563504228679,1.4392479289552,66.2431830469767,6.53148635449509,55.1177868699282,18,Jan,1980
0,0.221267527600253,1.94283186607908,8.72314472413467,1.22401998865618,48.7985970433553,5.89289045270998,53.8723143697778,19,Jan,1980
0,0.0167052410522523,0.436370737229567,7.58869835246277,0.45702514993315,41.979780681928,4.84231373902255,53.832718734468,20,Jan,1980
0,0.0554240809078656,0.930268836942341,7.86307013868044,0.862178851911782,50.2109806569417,5.01658767576019,54.5284252936641,21,Jan,1980
0,0.132336860836828,1.55016697673889,8.09897792213907,1.2124955742807,51.8535075473785,5.18558304340889,55.0340542195241,22,Jan,1980
0,0.361649903429996,2.67179123480467,8.39959346527855,1.86436330740396,51.786833896637,5.42951980190973,54.8593451857567,23,Jan,1980
0,0.192495736233204,1.44786629098427,7.67549069975813,0.821515627357099,37.9285581525167,4.95075656251361,53.5249636463324,24,Jan,1980
0,0.456208880447766,2.76470499019759,8.86056877950827,1.94193874049932,62.5639422861735,5.90368216454983,54.871791006724,25,Jan,1980
0,0.315057954561926,2.51328855196635,9.90909421086311,1.99148655573527,75.5292436981201,6.81433700323105,56.2253345092138,26,Jan,1980
0,0.676943233488128,4.35801019479831,11.0111167915662,3.60142727096876,82.098029683431,7.77358165184657,57.5490284156799,27,Jan,1980
0,0.574323618300259,3.91506046076616,11.7979253141085,3.16594027598699,83.2568430074056,8.45801231384277,58.7408677260081,28,Jan,1980
0,0.471801000797811,3.98147955457369,12.4589483483632,3.36948891162872,83.3728271484375,9.02775259494782,59.8989467557271,29,Jan,1980
0.1,0.561860121057058,4.68903103868167,12.9591411193212,3.98675168434779,81.8503080495199,9.43829609711965,60.9761159674327,30,Jan,1980
0,0.00418041674873772,0.299841290228069,8.72487078666687,0.632247531736891,53.2335930379232,6.02659458239873,54.7057029016813,31,Jan,1980
0,0.013695322535156,0.52752288416028,9.62266619880994,0.780227477947871,68.2229077911377,6.73361219962438,55.6118831221263,1,Feb,1980
0,0.0720689896761905,1.24646633525689,10.2965400481224,1.37879204352697,74.741983388265,7.25833415587743,56.5149155330658,2,Feb,1980
0.1,0.139295835956703,1.72062639746815,10.8105196481943,1.53300785849492,75.3348302459717,7.63303789695104,57.5123909950256,3,Feb,1980
0,0.0942942397851342,1.41013501544793,11.2916771745682,1.36603574077288,77.6760322316488,8.03790836254756,58.4331342752775,4,Feb,1980
0,0.0863716504668507,1.40539600541194,11.7127791372935,1.37706309477488,78.5865517171224,8.38384189128876,59.3911278390884,5,Feb,1980
0,0.214388044264245,2.38255224838853,12.1453739418586,2.02826573799054,77.3934933980306,8.71535080194473,60.235393405358,6,Feb,1980
0,0.107671868148415,1.71855609665314,12.7757908801238,1.67742644826571,79.6147218068441,9.2731097428004,61.1944169441859,7,Feb,1980
0,0.472984150666744,4.29354326228301,13.5050162204107,3.55077919165293,81.7061283365886,9.92130874554316,62.2311896848679,8,Feb,1980
0,0.338379014117143,2.10611233839138,10.4898565855622,1.05305767112931,44.6915275001526,7.52268840531508,55.4902706595262,9,Feb,1980
0,0.158883021164046,1.16628005214928,9.45418042590221,0.696084022157205,51.0946594238281,6.66572258532047,54.2329028022289,10,Feb,1980
0,0.323730876799867,2.11302823175987,10.6480188918114,1.60213302850723,70.7050117238363,7.67586270014445,55.2493454273542,11,Feb,1980
0,0.498931193951673,3.29484824091196,11.7418457198143,2.52021854996681,79.491380259196,8.6276384806633,56.297434326807704,12,Feb,1980
0,0.156767282478201,2.01446438749631,12.653136493365,1.83061427116394,81.7533636474609,9.41563224792481,57.4264404582977,13,Feb,1980
0,0.262171202494452,3.00489251395067,13.4535636552175,2.63749306360881,82.9845892333984,10.1255086565018,58.4680455080668,14,Feb,1980
0,0.338075617591662,2.29918205971177,11.772598421971,1.26573256084249,51.487399686177604,8.60710783163706,56.7208425851663,15,Feb,1980
0,0.161605903850994,1.33339252278616,10.8202626464764,0.625481929605982,50.4620236841838,7.78414392709732,55.5041124272347,16,Feb,1980
0,0.248787014444242,2.12578100681305,12.0971160848935,1.50349124272664,71.1440311177572,8.88577787319819,56.8092961883545,17,Feb,1980
0,0.590542720538409,3.65452392642697,12.6240042901039,2.53690443495909,75.1949665578206,9.35731019020081,57.5919274258614,18,Feb,1980
0,0.00370480222589202,0.174882895556875,7.7958863089482,0.240961878051749,43.1059743626912,5.36242718438307,48.2266152092815,19,Feb,1980
0,0.0224247545793392,0.540326537288238,7.23423376599327,0.652457744767162,48.6584681955973,4.77433899536729,48.1008290559053,20,Feb,1980
0,0.0370783935701052,0.775294635198079,7.81107749243577,0.949210260965241,61.3943956502279,5.22398980230093,48.8350069797039,21,Feb,1980
0,0.0015705461161739,0.137406568619493,4.43775500635306,0.344668347886958,43.2316897710164,2.77207004706065,41.6242001839479,22,Feb,1980
0.3,0.0080340387975896509,0.396218734066933,4.91285228590171,0.847898143207034,60.7930938975016,3.19330190281073,42.4818312335014,23,Feb,1980
0,0.0263223115541041,0.731457698593537,5.78760888934135,1.21928555727005,72.6059919484456,3.97079705953598,43.6415945068995,24,Feb,1980
0,0.0783184435909304,1.47790939509869,6.50260393222173,2.19687225103378,77.9508880869548,4.57300878604253,44.6349056943258,25,Feb,1980
0,0.451444182495276,4.19287663578987,7.47406839768092,4.67861938794454,82.8970719909668,5.41665389458338,45.5439634593328,26,Feb,1980
0,0.265765636917204,3.14936176578204,8.33489422480265,3.52736931800842,83.7751207987467,6.15497137546539,46.3653032096227,27,Feb,1980
0,0.393892596360917,3.8817148600022,9.05406230131785,3.98261733770371,81.8198427327474,6.7920910580953,47.2506247107188,28,Feb,1980
0,0.122300033243951,1.61747876040327,5.97896720727285,2.40497374986609,62.456092376709,4.68123078028361,38.3345340983073,29,Feb,1980
0,0.016119258317655,0.60432226896286,6.05598036249479,1.17112968961398,65.6070576222738,4.72265771309535,37.7131023569902,1,Mar,1980
0,0.0272691407784381,0.832109212192396,6.49736133495967,1.42676718254884,70.9576824442546,5.19866466840108,38.4491551248233,2,Mar,1980
0,0.00268102559773032,0.203884651164214,5.0486558107535,0.417838171223799,54.4642505645752,3.99747729937236,36.2651401058833,3,Mar,1980
0,0.0218131783327467,0.597978928423351,5.13055900176366,0.942894979914418,58.58285059611,3.93325389742851,36.055216123263,4,Mar,1980
0,0.153085780801054,1.76528741138677,5.64510472685099,2.01751078148683,66.5677845001221,4.28289121091366,36.579735733668,5,Mar,1980
0,0.125679437203798,1.78817724963029,6.50217418750127,2.21724789023399,74.5321685536703,4.95910085837046,37.64966679732,6,Mar,1980
0,0.201952765904425,2.39541991593937,6.70454006100694,2.77080090189974,72.3487901814779,5.05321707149347,37.5277701954047,7,Mar,1980
0,0.441421204920625,3.864692620188,7.69297853708267,3.87749435861905,78.4288586934408,5.90214771389961,38.3772969841957,8,Mar,1980
0,0.301556072298748,3.19721260110537,9.1376001850764,3.11672268390656,83.2458598327637,7.21457300662994,39.557228008906,9,Mar,1980
0,0.571033860786508,4.62464194198449,10.6872388807933,4.04892207145691,85.3839632670085,8.65384081204732,40.8536804946264,10,Mar,1980
10,0.631402707931896,5.18381765325864,12.2619911130269,4.26371284008026,86.3002321370443,10.1554667901993,42.1908180967967,11,Mar,1980
0.1,0.649901257356008,5.31179067373276,14.0000382296244,4.05440653642019,87.1115050252279,11.8578815714518,43.6412795416514,12,Mar,1980
2,2.79165039477249,12.8042981692155,15.0378969605764,10.7509069816271,86.479848836263,12.8895417404175,44.5219090334574,13,Mar,1980
0.1,2.14856837038261,10.901465737621,16.0569190947215,8.34386236190796,86.266825281779,13.9151703166962,45.3846214898427,14,Mar,1980
2,0.928308664658883,5.57624701792995,15.7740442212423,3.75300056298574,77.4005951690674,13.6269058116277,45.4513378759225,15,Mar,1980
5,1.5617088201642,8.27552185893059,17.1952295700709,5.6868351149559,84.5145634969076,15.1021533473333,46.4987898476919,16,Mar,1980
0,1.01039202903708,6.99418955564499,17.9886824893951,4.84928378661474,83.7058096313477,15.8991062545776,47.6094655330976,17,Mar,1980
1,0.217086752648209,2.62655566560182,16.116853316625,2.1563619422330502,70.5374381256104,14.051748418808,46.2223006184896,18,Mar,1980
1,0.0188229259696224,0.591184656036397,11.413093606631,0.773491434256236,55.1254498545329,9.65338261127472,40.4942487164338,19,Mar,1980
0,0.0042838984169764,0.218844349169037,8.29014408349991,0.308098269179075,44.6326466496786,6.71066112120946,36.3079787427187,20,Mar,1980
0,7.05260565549572e-4,0.0622844253847495,3.82718312856198,0.133007643354693,33.0893401145935,3.2370402153333,23.0561638927956,21,Mar,1980
0,0.00390659102276235,0.223502609788726,3.78480901416391,0.443924246047197,46.5858049138387,2.99625853290161,23.4504072139661,22,Mar,1980
0,0.00627140701607611,0.317508695116267,3.79454898238182,0.677510387611886,55.9361046091716,2.97070512165626,23.6669308241208,23,Mar,1980
0,0.0207090163350173,0.575695310431371,4.32244021341205,0.951523481862338,58.1479127502441,3.28518784761429,24.1570664548874,24,Mar,1980
2,0.0714682721141076,1.00710251994188,4.36812211935719,1.22155493277385,53.951956392924,3.25984599635005,24.3019660727183,25,Mar,1980
0,0.227809974283247,2.29543410453402,4.96820325235526,2.44147665587176,62.1968605677287,3.7946194088459,24.961924153169,26,Mar,1980
0,0.110947522010546,1.10459882492774,4.3431528741618,1.02359197762619,42.1736229483287,3.02117415241897,24.6734389535586,27,Mar,1980
0,0.0224186057253185,0.505336136710384,4.41243771235148,0.673259404448466,49.3627623875936,3.12374186972777,25.1941664648056,28,Mar,1980
0,0.0387045584701123,0.717412492505792,4.77079744040966,0.854292908280139,51.0382433350881,3.30555848409732,25.9967157375813,29,Mar,1980
0,0.0399586974524434,0.751121570429144,5.65641814986865,0.844209570051171,61.9682162475586,4.11995002667109,27.4036594804128,30,Mar,1980
0,0.193306563120956,2.14720264325539,7.22436131238937,2.28776705066363,77.7675331370036,5.68577605644862,29.2221232573191,31,Mar,1980
0,0.262127029635012,2.70963692347209,9.18423552513123,2.65032390832901,82.3713777160645,7.62493933359782,31.4880459626516,1,Apr,1980
2,0.648792950802793,4.55205558896065,11.7116159184774,3.71998852570852,85.5228226725261,10.2426044384638,33.839046532313,2,Apr,1980
10,1.0992245414108,7.0731427693367,14.554109544754,5.34347607771556,87.4509114583333,13.2563152186076,36.3572908719381,3,Apr,1980
0,1.36934775342544,8.56203883171082,16.9609368356069,6.53100334962209,86.7337081400553,15.822226711909,38.5138857014974,4,Apr,1980
25,1.39248563120763,8.76724090576172,19.7114147631327,5.80468656698863,88.7624378967285,18.7968253135681,40.6696943600972,5,Apr,1980
0,1.41505342642466,9.10506635189056,21.7668389320374,5.86632452329,88.4254627990723,20.9887405268351,42.6353679720561,6,Apr,1980
